Series ID,Item,Year Month,Ave Price
APU0000702111,Bread,2020 Jan,1.351
APU0000702111,Bread,2020 Feb,1.375
APU0000702111,Bread,2020 Mar,1.374
APU0000702111,Bread,2020 Apr,1.406
APU0000702111,Bread,2020 May,1.412
APU0000702111,Bread,2020 Jun,1.474
APU0000702111,Bread,2020 Jul,1.485
APU0000702111,Bread,2020 Aug,1.495
APU0000702111,Bread,2020 Sep,1.492
APU0000702111,Bread,2020 Oct,1.503
APU0000702111,Bread,2020 Nov,1.515
APU0000702111,Bread,2020 Dec,1.538
APU0000702111,Bread,2021 Jan,1.546
APU0000702111,Bread,2021 Feb,1.537
APU0000702111,Bread,2021 Mar,1.526
APU0000702111,Bread,2021 Apr,1.51
APU0000702111,Bread,2021 May,1.511
APU0000702111,Bread,2021 Jun,1.51
APU0000702111,Bread,2021 Jul,1.491
APU0000702111,Bread,2021 Aug,1.467
APU0000702111,Bread,2021 Sep,1.58
APU0000702111,Bread,2021 Oct,1.526
APU0000702111,Bread,2021 Nov,1.547
APU0000702111,Bread,2021 Dec,1.532
APU0000702111,Bread,2022 Jan,1.555
APU0000702111,Bread,2022 Feb,1.578
APU0000702111,Bread,2022 Mar,1.607
APU0000702111,Bread,2022 Apr,1.612
APU0000702111,Bread,2022 May,1.606
APU0000702111,Bread,2022 Jun,1.691
APU0000702111,Bread,2022 Jul,1.715
APU0000702111,Bread,2022 Aug,1.756
APU0000708111,Eggs,2020 Jan,1.461
APU0000708111,Eggs,2020 Feb,1.449
APU0000708111,Eggs,2020 Mar,1.525
APU0000708111,Eggs,2020 Apr,2.019
APU0000708111,Eggs,2020 May,1.64
APU0000708111,Eggs,2020 Jun,1.554
APU0000708111,Eggs,2020 Jul,1.401
APU0000708111,Eggs,2020 Aug,1.328
APU0000708111,Eggs,2020 Sep,1.353
APU0000708111,Eggs,2020 Oct,1.408
APU0000708111,Eggs,2020 Nov,1.45
APU0000708111,Eggs,2020 Dec,1.481
APU0000708111,Eggs,2021 Jan,1.466
APU0000708111,Eggs,2021 Feb,1.597
APU0000708111,Eggs,2021 Mar,1.625
APU0000708111,Eggs,2021 Apr,1.62
APU0000708111,Eggs,2021 May,1.625
APU0000708111,Eggs,2021 Jun,1.642
APU0000708111,Eggs,2021 Jul,1.642
APU0000708111,Eggs,2021 Aug,1.709
APU0000708111,Eggs,2021 Sep,1.835
APU0000708111,Eggs,2021 Oct,1.821
APU0000708111,Eggs,2021 Nov,1.718
APU0000708111,Eggs,2021 Dec,1.788
APU0000708111,Eggs,2022 Jan,1.929
APU0000708111,Eggs,2022 Feb,2.005
APU0000708111,Eggs,2022 Mar,2.046
APU0000708111,Eggs,2022 Apr,2.52
APU0000708111,Eggs,2022 May,2.863
APU0000708111,Eggs,2022 Jun,2.707
APU0000708111,Eggs,2022 Jul,2.936
APU0000708111,Eggs,2022 Aug,3.116
APU0000709112,Milk,2020 Jan,3.253
APU0000709112,Milk,2020 Feb,3.196
APU0000709112,Milk,2020 Mar,3.248
APU0000709112,Milk,2020 Apr,3.267
APU0000709112,Milk,2020 May,3.21
APU0000709112,Milk,2020 Jun,3.198
APU0000709112,Milk,2020 Jul,3.255
APU0000709112,Milk,2020 Aug,3.406
APU0000709112,Milk,2020 Sep,3.448
APU0000709112,Milk,2020 Oct,3.38
APU0000709112,Milk,2020 Nov,3.425
APU0000709112,Milk,2020 Dec,3.535
APU0000709112,Milk,2021 Jan,3.468
APU0000709112,Milk,2021 Feb,3.368
APU0000709112,Milk,2021 Mar,3.348
APU0000709112,Milk,2021 Apr,3.447
APU0000709112,Milk,2021 May,3.497
APU0000709112,Milk,2021 Jun,3.557
APU0000709112,Milk,2021 Jul,3.627
APU0000709112,Milk,2021 Aug,3.56
APU0000709112,Milk,2021 Sep,3.585
APU0000709112,Milk,2021 Oct,3.663
APU0000709112,Milk,2021 Nov,3.671
APU0000709112,Milk,2021 Dec,3.743
APU0000709112,Milk,2022 Jan,3.787
APU0000709112,Milk,2022 Feb,3.875
APU0000709112,Milk,2022 Mar,3.917
APU0000709112,Milk,2022 Apr,4.012
APU0000709112,Milk,2022 May,4.204
APU0000709112,Milk,2022 Jun,4.153
APU0000709112,Milk,2022 Jul,4.156
APU0000709112,Milk,2022 Aug,4.194
